	prevalence	gene	lifestyle
8007	0.6438356164383562	gene__K04517	non-westernized
15249	0.9130434782608695	gene__K04517	non-westernized
15467	0.8857142857142857	gene__K04517	non-westernized
15452	0.8656716417910447	gene__K04517	non-westernized
1474	0.90625	gene__K01524	westernized
1883	0.0	gene__K01524	westernized
1475	0.14444444444444443	gene__K01524	westernized
1472	0.22699386503067484	gene__K01524	westernized
1477	0.2524271844660194	gene__K01524	westernized
2325	0.8368794326241135	gene__K01524	westernized
1853	0.75	gene__K01524	westernized
4670	0.7482014388489209	gene__K01524	westernized
4894	0.13756613756613756	gene__K01524	westernized
5769	0.8918918918918919	gene__K01524	westernized
4705	0.9568527918781726	gene__K01524	westernized
7061	0.7650602409638554	gene__K01524	westernized
9274	0.84375	gene__K01524	westernized
5765	0.9412878787878788	gene__K01524	westernized
1814	0.7706310679611651	gene__K01524	westernized
9273	0.8342541436464088	gene__K01524	westernized
1855	0.7110778443113772	gene__K01524	westernized
14341	0.6947368421052632	gene__K01524	westernized
9283	0.9703872437357631	gene__K01524	westernized
15467	0.7863247863247863	gene__K01524	westernized
17256	0.37341772151898733	gene__K01524	westernized
15452	0.7235023041474654	gene__K01524	westernized
10115	0.987146529562982	gene__K01524	westernized
10068	1.0	gene__K01524	westernized
1474	0.9354838709677419	gene__K01524	non-westernized
1883	0.2608695652173913	gene__K01524	non-westernized
1475	0.3006535947712418	gene__K01524	non-westernized
1472	0.2647058823529412	gene__K01524	non-westernized
1477	0.5377358490566038	gene__K01524	non-westernized
2325	0.65	gene__K01524	non-westernized
1853	0.8823529411764706	gene__K01524	non-westernized
4670	0.9090909090909091	gene__K01524	non-westernized
4894	0.08771929824561403	gene__K01524	non-westernized
5769	0.85	gene__K01524	non-westernized
4705	0.9523809523809523	gene__K01524	non-westernized
7061	0.8404907975460123	gene__K01524	non-westernized
9274	0.8333333333333334	gene__K01524	non-westernized
5765	0.912621359223301	gene__K01524	non-westernized
1814	0.92	gene__K01524	non-westernized
9273	0.8536585365853658	gene__K01524	non-westernized
1855	0.8636363636363636	gene__K01524	non-westernized
14341	0.8	gene__K01524	non-westernized
9283	0.9354838709677419	gene__K01524	non-westernized
15467	0.9485714285714286	gene__K01524	non-westernized
17256	0.3333333333333333	gene__K01524	non-westernized
15452	0.8208955223880597	gene__K01524	non-westernized
10115	0.9577464788732394	gene__K01524	non-westernized
10068	1.0	gene__K01524	non-westernized
4537	0.9464285714285714	gene__K07335	westernized
4891	0.8	gene__K07335	westernized
4886	0.9727272727272728	gene__K07335	westernized
4921	0.23076923076923078	gene__K07335	westernized
4953	0.8392857142857143	gene__K07335	westernized
4247	0.8405797101449275	gene__K07335	westernized
4670	0.7482014388489209	gene__K07335	westernized
5063	1.0	gene__K07335	westernized
4191	0.8637316561844863	gene__K07335	westernized
5099	0.9117647058823529	gene__K07335	westernized
4909	0.9186991869918699	gene__K07335	westernized
4882	0.7601809954751131	gene__K07335	westernized
5062	0.8151658767772512	gene__K07335	westernized
6173	1.0	gene__K07335	westernized
6174	0.96875	gene__K07335	westernized
4198	0.9851551956815114	gene__K07335	westernized
5076	0.7203791469194313	gene__K07335	westernized
5967	0.7674418604651163	gene__K07335	westernized
4705	0.9898477157360406	gene__K07335	westernized
5077	0.24414715719063546	gene__K07335	westernized
6148	0.7910447761194029	gene__K07335	westernized
4532	0.9426934097421203	gene__K07335	westernized
8021	0.7391304347826086	gene__K07335	westernized
8018	0.6666666666666666	gene__K07335	westernized
7968	0.9318181818181818	gene__K07335	westernized
4837	0.974757281553398	gene__K07335	westernized
14379	0.71875	gene__K07335	westernized
6191	0.7053140096618358	gene__K07335	westernized
4936	0.8388625592417062	gene__K07335	westernized
14370	0.6764705882352942	gene__K07335	westernized
4910	0.9747292418772563	gene__K07335	westernized
4938	0.6145833333333334	gene__K07335	westernized
4940	0.9216867469879518	gene__K07335	westernized
4925	0.9767441860465116	gene__K07335	westernized
8007	0.5103926096997691	gene__K07335	westernized
15385	0.864406779661017	gene__K07335	westernized
15452	0.8940092165898618	gene__K07335	westernized
4537	0.8863636363636364	gene__K07335	non-westernized
4891	0.9166666666666666	gene__K07335	non-westernized
4886	0.9444444444444444	gene__K07335	non-westernized
4921	0.7727272727272727	gene__K07335	non-westernized
4953	0.7619047619047619	gene__K07335	non-westernized
4247	0.8653846153846154	gene__K07335	non-westernized
4670	0.9090909090909091	gene__K07335	non-westernized
5063	0.9523809523809523	gene__K07335	non-westernized
4191	0.8181818181818182	gene__K07335	non-westernized
5099	0.8387096774193549	gene__K07335	non-westernized
4909	0.9605263157894737	gene__K07335	non-westernized
4882	0.7142857142857143	gene__K07335	non-westernized
5062	0.90625	gene__K07335	non-westernized
6173	0.9411764705882353	gene__K07335	non-westernized
6174	0.9	gene__K07335	non-westernized
4198	1.0	gene__K07335	non-westernized
5076	0.5757575757575758	gene__K07335	non-westernized
5967	0.8055555555555556	gene__K07335	non-westernized
4705	1.0	gene__K07335	non-westernized
5077	0.6428571428571429	gene__K07335	non-westernized
6148	0.7971014492753623	gene__K07335	non-westernized
4532	0.96	gene__K07335	non-westernized
8021	0.6	gene__K07335	non-westernized
8018	0.8	gene__K07335	non-westernized
7968	0.75	gene__K07335	non-westernized
4837	0.9090909090909091	gene__K07335	non-westernized
14379	0.8148148148148148	gene__K07335	non-westernized
6191	0.9285714285714286	gene__K07335	non-westernized
4936	0.875	gene__K07335	non-westernized
14370	0.5555555555555556	gene__K07335	non-westernized
4910	0.9932432432432432	gene__K07335	non-westernized
4938	0.85	gene__K07335	non-westernized
4940	0.9746835443037974	gene__K07335	non-westernized
4925	0.9811320754716981	gene__K07335	non-westernized
8007	0.4794520547945205	gene__K07335	non-westernized
15385	0.8181818181818182	gene__K07335	non-westernized
15452	0.9701492537313433	gene__K07335	non-westernized
698	0.8	gene__K01749	westernized
714	0.9884488448844885	gene__K01749	westernized
5083	0.8518518518518519	gene__K01749	westernized
5769	0.972972972972973	gene__K01749	westernized
6173	0.9090909090909091	gene__K01749	westernized
6174	0.84375	gene__K01749	westernized
5906	0.6610169491525424	gene__K01749	westernized
5904	0.735632183908046	gene__K01749	westernized
6179	0.8311688311688312	gene__K01749	westernized
5858	0.7238095238095238	gene__K01749	westernized
5765	0.9185606060606061	gene__K01749	westernized
6191	0.6956521739130435	gene__K01749	westernized
5082	0.9889958734525447	gene__K01749	westernized
9273	0.5966850828729282	gene__K01749	westernized
4925	0.2393980848153215	gene__K01749	westernized
6962	0.8787878787878788	gene__K01749	westernized
14809	0.1939655172413793	gene__K01749	westernized
15447	0.6333333333333333	gene__K01749	westernized
15467	0.5512820512820513	gene__K01749	westernized
15452	0.8179723502304147	gene__K01749	westernized
10115	0.8637532133676092	gene__K01749	westernized
10068	0.9860529986052998	gene__K01749	westernized
698	0.9590163934426229	gene__K01749	non-westernized
714	0.9880239520958084	gene__K01749	non-westernized
5083	0.918918918918919	gene__K01749	non-westernized
5769	1.0	gene__K01749	non-westernized
6173	0.9117647058823529	gene__K01749	non-westernized
6174	0.95	gene__K01749	non-westernized
5906	0.9333333333333333	gene__K01749	non-westernized
5904	0.8333333333333334	gene__K01749	non-westernized
6179	0.9390243902439024	gene__K01749	non-westernized
5858	0.7641509433962265	gene__K01749	non-westernized
5765	0.941747572815534	gene__K01749	non-westernized
6191	0.8571428571428571	gene__K01749	non-westernized
5082	1.0	gene__K01749	non-westernized
9273	0.6747967479674797	gene__K01749	non-westernized
4925	0.41509433962264153	gene__K01749	non-westernized
6962	0.9047619047619048	gene__K01749	non-westernized
14809	0.25806451612903225	gene__K01749	non-westernized
15447	0.7333333333333333	gene__K01749	non-westernized
15467	0.46285714285714286	gene__K01749	non-westernized
15452	0.9402985074626866	gene__K01749	non-westernized
10115	0.9084507042253521	gene__K01749	non-westernized
10068	0.9893617021276596	gene__K01749	non-westernized
1672	0.9333333333333333	gene__K03565	westernized
1673	0.9130434782608695	gene__K03565	westernized
